                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1579,                  3.459,                  2.609,                0.03661,                0.05147,                0.02268,                0.00603,                 4.6844,                  5.939,                 2.7005,               0.070061,              0.0033265,              0.0033265
                      2,                  3.359,                 2.8809,                  2.191,                0.51016,                0.14869,                0.15909,                0.04768,                  3.747,                 4.1806,                 2.3443,               0.040039,              0.0066379,              0.0066379
                      3,                 3.1875,                 2.7003,                 2.0758,                0.37863,                0.19639,                0.16226,                0.05851,                 3.4261,                  3.172,                 2.0915,              0.0099951,              0.0099273,              0.0099273
                      4,                 3.0334,                 2.5926,                 2.0084,                0.68192,                0.16346,                0.19697,                0.07851,                 3.2352,                 2.6983,                 2.0335,               0.009901,               0.009901,               0.009901
                      5,                 2.9634,                 2.4676,                 1.9403,                0.41864,                0.27756,                0.27755,                 0.1063,                 3.1886,                 2.5385,                 2.0369,               0.009868,               0.009868,               0.009868
                      6,                 2.8775,                 2.4071,                 1.8978,                 0.3469,                0.22459,                 0.2318,                0.09424,                  3.164,                 2.8072,                 2.0072,               0.009835,               0.009835,               0.009835
                      7,                 2.8238,                 2.3157,                 1.8569,                0.68467,                0.26305,                0.30731,                 0.1314,                 2.9702,                 2.3378,                 1.9073,               0.009802,               0.009802,               0.009802
                      8,                 2.7836,                 2.2471,                 1.8282,                0.62879,                0.36459,                0.40955,                0.17718,                 2.8384,                 2.1465,                 1.7758,               0.009769,               0.009769,               0.009769
                      9,                 2.7282,                 2.2055,                  1.797,                0.59479,                0.35057,                0.38772,                 0.1687,                  2.875,                 2.2597,                 1.8072,               0.009736,               0.009736,               0.009736
                     10,                 2.6898,                 2.1585,                 1.7688,                 0.5316,                0.35397,                0.37329,                0.16398,                 2.7837,                 2.1138,                 1.7833,               0.009703,               0.009703,               0.009703
                     11,                 2.6746,                 2.1376,                 1.7595,                 0.6034,                0.41728,                0.44069,                0.19378,                  2.761,                 2.0319,                 1.7597,                0.00967,                0.00967,                0.00967
                     12,                 2.6285,                 2.0829,                 1.7246,                0.66073,                0.36674,                0.42802,                0.18964,                 2.7539,                 2.0802,                 1.7562,               0.009637,               0.009637,               0.009637
                     13,                 2.5875,                 2.0432,                 1.7059,                0.67362,                0.43508,                0.48867,                0.22669,                 2.6137,                 1.8591,                 1.6643,               0.009604,               0.009604,               0.009604
                     14,                 2.5772,                 2.0213,                 1.6968,                0.61138,                0.42492,                0.46851,                0.21072,                 2.6261,                 1.8346,                 1.6785,               0.009571,               0.009571,               0.009571
                     15,                 2.5733,                 2.0028,                 1.6957,                 0.7115,                0.43079,                0.50881,                0.24519,                 2.5571,                 1.7362,                 1.6575,               0.009538,               0.009538,               0.009538
                     16,                 2.5225,                  1.946,                 1.6669,                0.58742,                0.36488,                0.40289,                0.18559,                 2.6585,                 2.0634,                 1.6918,               0.009505,               0.009505,               0.009505
                     17,                 2.5297,                 1.9379,                 1.6674,                0.66505,                 0.3748,                0.43277,                0.20843,                 2.5628,                 1.9119,                 1.6551,               0.009472,               0.009472,               0.009472
                     18,                 2.5005,                 1.8981,                 1.6399,                0.59435,                0.43389,                0.47047,                0.22356,                 2.5268,                 1.8778,                 1.6186,               0.009439,               0.009439,               0.009439
                     19,                 2.4744,                 1.8564,                 1.6224,                 0.6122,                0.33539,                0.38225,                0.17399,                 2.7572,                 2.1301,                 1.7229,               0.009406,               0.009406,               0.009406
